id;PERSONAJE;ACTORES;FullName;SubTitle;LINKS;TEMPORADA1;TEMPORADA2;TIPO;esferacoronas;deleted;esferas;esferastype;esferaid;esferalevels;initialChar;RELACIONES;IMAGENES;circulo;PERSONAJE2;Body;TEMPORADA3;Body3;esferalevels3;initialChar3;IMAGENES3;PERSONAJE3;SubTitle3;TIPO3;esferacoronas3;esferas3;esferastype3;RELACIONES3
17;Gonzalo de Córdoba;Sergio Peris Mencheta;Gonzalo Fernández de Córdoba;Virrey de Nápoles. militar, noble y político;http://www.rtve.es/television/20110824/gonzalo-fernandez-cordoba-interpretado-sergio-peris-mencheta/456958.shtml;2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11;14 - 18 - 21 - 22 - 23 - 24 - 26;Corte;castilla;;1,2,13,32;1,a,a,e;5;2;5;Isabel I de Castilla, Alfonso de Castilla, Beltrán de la Cueva, Fernando II de Aragón;GONZALO-DE-CORDOBA.jpg;;Gonzalo de Córdoba;Nacido en Montilla (Córdoba) en 1453, perteneció al grupo de los militares más prestigiosos del reinado de los Reyes Católicos y era conocido como el Gran Capitán por su excelencia en el arte de la guerra.\n\r\n\rMiembro de la casa de Aguilar, entró con 12 años al servicio del infante Alfonso, quien tenía su misma edad.\n\r\n\rDoncel, amigo y protector del infante Alfonso, tuvo por Isabel un amor platónico que hizo que Chacón le viese un peligro para la estabilidad emocional de su protegida.\n\r\n\rPese a lo fallido de sus deseos amorosos, Gonzalo se sobrepuso y se convirtió en principal adalid y protector armado de Isabel, que confió en él toda su vida, encomendándole misiones de gran responsabilidad.\n\r\n\rEn su relación con Alfonso, era evidente el contraste entre un joven curtido en la lucha y otro criado en las faldas de su madre y luego en la adulación de la Corte.\n\r\n\rAvisó en varias ocasiones en vano a Gonzalo de las intenciones de Pacheco, aunque no por ello perdió la confianza del infante, a quien enseñó a guerrear.\n\r\n\rDisciplinado, y especialmente motivado por servir a quien tanto aprecia, fue pieza esencial en momentos clave en los que la seguridad de Isabel y sus intereses estuvieron en juego.\n\r\n\rEl Gran Capitán fue un genio militar excepcionalmente dotado, que acabó con la medieval guerra de choque al dotar de mayor responsabilidad a la infantería y emplear la táctica de defensa-ataque.\n\r\n\rPor primera vez manejó combinadamente la infantería, la caballería y la artillería aprovechándose del apoyo naval.\n\r\n\rSupo mover hábilmente a sus tropas y llevar al enemigo al terreno que había elegido como más favorable. Idolatrado por sus soldados y admirado por todos, tuvo en su popularidad su mayor enemigo.;29 - 31 - 32 - 34;Nacido en Montilla (Córdoba) en 1453, perteneció al grupo de los militares más prestigiosos del reinado de los Reyes Católicos y era conocido como el Gran Capitán por su excelencia en el arte de la guerra.\n\r\n\rMiembro de la casa de Aguilar, entró con 12 años al servicio del infante Alfonso, quien tenía su misma edad.\n\r\n\rDoncel, amigo y protector del infante Alfonso, tuvo por Isabel un amor platónico que hizo que Chacón le viese un peligro para la estabilidad emocional de su protegida.\n\r\n\rPese a lo fallido de sus deseos amorosos, Gonzalo se sobrepuso y se convirtió en principal adalid y protector armado de Isabel, que confió en él toda su vida, encomendándole misiones de gran responsabilidad.\n\r\n\rEn su relación con Alfonso, era evidente el contraste entre un joven curtido en la lucha y otro criado en las faldas de su madre y luego en la adulación de la Corte.\n\r\n\rAvisó en varias ocasiones en vano a Gonzalo de las intenciones de Pacheco, aunque no por ello perdió la confianza del infante, a quien enseñó a guerrear.\n\r\n\rDisciplinado, y especialmente motivado por servir a quien tanto aprecia, fue pieza esencial en momentos clave en los que la seguridad de Isabel y sus intereses estuvieron en juego.\n\r\n\rEl Gran Capitán fue un genio militar excepcionalmente dotado, que acabó con la medieval guerra de choque al dotar de mayor responsabilidad a la infantería y emplear la táctica de defensa-ataque.\n\r\n\rPor primera vez manejó combinadamente la infantería, la caballería y la artillería aprovechándose del apoyo naval.\n\r\n\rSupo mover hábilmente a sus tropas y llevar al enemigo al terreno que había elegido como más favorable. Idolatrado por sus soldados y admirado por todos, tuvo en su popularidad su mayor enemigo.;1;6;gonzalo_de_cordoba.jpg;Gonzalo de Córdoba;Virrey de Nápoles. militar, noble y político;Nobleza;castilla;3,2,53,4,9,64,63,66;a,a,a,a,a,e,e,e;Fernando el Católico, Isabel la Católica, Alejandro VI, Gonzalo Chacón, Andres de Cabrera, Carlos VIII, Luis de Tremoille, Luis XII
18;Gonzalo Chacón;Ramón Madaula;Gonzalo Chacón;Político e historiador castellano, hombre de confianza de Isabel la Católica;http://www.rtve.es/television/20110822/gonzalo-chacon-interpretado-ramon-madaula/456598.shtml;1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13;14 - 15 - 16 - 17 - 19 - 21 - 22 - 23 - 25 - 26;Corte;castilla;;1,2,6,8,9,10,11,15,20;1,a,a,f,a,a,a,a,a;4;2;4;Isabel de Portugal, Isabel I de Castilla, Alfonso de Castilla, Juan Pacheco, Gutierre de Cárdenas, Clara Alvarnáez;gonzalo_chacon.jpg;;Gonzalo Chacón;Mentor de Isabel. Tío político de Gutiérrez de Cárdenas, estuvo a las órdenes del valido de Juan II, Álvaro de Luna. A Chacón se le atribuye la 'Crónica de don Álvaro de Luna'.\n\r\n\rCuando empezó a trabajar al lado de la niña Isabel era comendador de Montiel y estaba casado con la dama portuguesa Clara Alvarnáez, del séquito de Isabel de Portugal.\n\r\n\rChacón y Alvarnáez formaban una pareja muy unida, compañeros y apoyo de la niña hasta el extremo de que Isabel ni de princesa ni de reina quiso que la abandonaran.\n\r\n\rTras la muerte de Juan II, Isabel de Portugal y sus hijos se instalaron en Arévalo con un pequeño séquito. Entre ellos se encontraban Chacón y esposa. él tenía la función de mayordomo y tesorero. Gestionó la renta de Isabel de Portugalcon mucha eficacia.\n\r\n\rEl rey Enrique IV incumplió lo pactado y dejó de asignar a los infantes las rentas de diversas villas que les correspondían.\n\r\n\rChacón instruyó a los infantes Isabel y Alfonso en conceptos como la defensa del poder de la Corona, la restricción del papel de los nobles, además de la necesidad de hacer una nueva política que lleve a Castilla hacia nuevos objetivos.\n\r\n\rGonzalo Chacón era adorado por Isabel y Alfonso desde niños. Con el tiempo, su papel al lado de Isabel era tan importante que Juan II de Aragón no dudó en colmar de mercedes a Chacón para que defendiesen a su hijo Fernando, como el candidato perfecto para ser marido de la futura reina.\n\r\n\rTras la coronación de la reina, consiguió la culminación de su venganza respecto a la recuperación del legado de Álvaro de Luna, en contra de las ambiciones nobiliarias encabezadas por Juan Pacheco, responsable último de la muerte de su maestro.;27 - 28 - 29 - 31 - 32 - 33 - 34;Mentor de Isabel. Tío político de Gutiérrez de Cárdenas, estuvo a las órdenes del valido de Juan II, Álvaro de Luna. A Chacón se le atribuye la 'Crónica de don Álvaro de Luna'.\n\r\n\rCuando empezó a trabajar al lado de la niña Isabel era comendador de Montiel y estaba casado con la dama portuguesa Clara Alvarnáez, del séquito de Isabel de Portugal.\n\r\n\rChacón y Alvarnáez formaban una pareja muy unida, compañeros y apoyo de la niña hasta el extremo de que Isabel ni de princesa ni de reina quiso que la abandonaran.\n\r\n\rTras la muerte de Juan II, Isabel de Portugal y sus hijos se instalaron en Arévalo con un pequeño séquito. Entre ellos se encontraban Chacón y esposa. él tenía la función de mayordomo y tesorero. Gestionó la renta de Isabel de Portugalcon mucha eficacia.\n\r\n\rEl rey Enrique IV incumplió lo pactado y dejó de asignar a los infantes las rentas de diversas villas que les correspondían.\n\r\n\rChacón instruyó a los infantes Isabel y Alfonso en conceptos como la defensa del poder de la Corona, la restricción del papel de los nobles, además de la necesidad de hacer una nueva política que lleve a Castilla hacia nuevos objetivos.\n\r\n\rGonzalo Chacón era adorado por Isabel y Alfonso desde niños. Con el tiempo, su papel al lado de Isabel era tan importante que Juan II de Aragón no dudó en colmar de mercedes a Chacón para que defendiesen a su hijo Fernando, como el candidato perfecto para ser marido de la futura reina.\n\r\n\rTras la coronación de la reina, consiguió la culminación de su venganza respecto a la recuperación del legado de Álvaro de Luna, en contra de las ambiciones nobiliarias encabezadas por Juan Pacheco, responsable último de la muerte de su maestro.;2;7;gonzalo_chacon.jpg;Gonzalo Chacón;Político e historiador castellano, hombre de confianza de Isabel la Católica;Corte;castilla;2,3,5,64,66,9,53,63;a,a,a,e,e,a,a,e;Isabel la Católica, Fernando el Católico, Gonzalo de Cordoba, Carlos VIII, Luis XII, Andrés Cabrera, Alejandro VI, Luis de Tremoille
19;Clara Alvarnáez;Mónica Vic;;;;9;17;Corte;castilla;;4,6,15;f,a,a;;;;Gonzalo Chacón;clara.jpg;;Clara Alvarnáez;;;;;;;Clara Alvarnáez;;Corte;castilla;;;
20;Juana la Beltraneja;Cármen Sánchez;"Juana ""La Beltraneja""";Infanta de Castilla;;;14 - 15 - 16 - 17 - 19 - 20;Realeza;portugal;;2,13,17,20,22,23,24,26,29,49;F,e,f,e,22,f,f,a,a,a;25;2;25;Enrique IV, Juana de Avis, Isabel I de Castilla, Alfonso de Castilla, Beltrán de la Cueva, Alfonso V de Portugal;JUANA-LA-BELTRANEJA.jpg;2;Juana la Beltraneja;Hija de Juana de Portugal y Enrique IV, su nacimiento abrió una brecha entre el rey y sus hermanos Isabel y Alfonso por las aspiraciones a la corona.\n\r\n\rNació, de difícil parto, del vientre de Juana de Avis y legalmente tuvo como padre a Enrique IV, aunque fue apodada la Beltraneja por los rumores existente de que su padre pudo ser el valido Beltran de la Cueva. Para muchos era la heredera legal de la Corona, aunque una parte de la nobleza castellana no la aceptó como hija biológica del rey.\n\r\n\rSe dijo que Enrique IV, llamado el impotente, había obligado a su mujer a tener un hijo con Beltrán de la Cueva, su favorito, aunque ambos juraron solemnemente que no había sido así.\n\r\n\rJuana fue bautizada e Isabel la Católica fue su madrina y Juan Pacheco su padrino. Precisamente ambos jugaron un papel determinante en contra de Juana a lo largo de su vida. Pocos meses después fue jurada en las Cortes de Madrid como princesa de Asturias y heredera del reino, aunque Juan Pacheco ya entonces renegó de su juramento ante un notario.;;;2;;;Juana la Beltraneja;Infanta de Castilla;Realeza;portugal;;;
21;Beltrán de la Cueva;William Miller;Beltrán de la Cueva;Valido de Enrique IV de Castilla. Noble, político y militar;http://www.rtve.es/television/20110825/isabel-serie/457218.shtml;1 - 2 - 3 - 4 - 5 - 10;14 - 15 - 16 - 18 - 24 - 25;Corte;castilla;;1,5,17,19,21,24,25,49;1,a,a,19,e,e,e,f;13;2;13;Enrique IV, Juana de Avis, Juan Pacheco, Alfonso Carrillo, Gonzalo de Córdoba, Juana La Beltraneja;BELTRAN-DE-LA-CUEVA.jpg;2;Beltrán de la Cueva;Nacido en Úbeda, se dice que tuvo una aventura con Juana de Portugal y que era el padre de la infanta Juana, la Beltraneja.\n\r\n\rPertenecía a una familia de nobleza menor y con esfuerzo consiguió ascender rápidamente en la Corte del rey, convirtiéndose en el tronco de una de las familias aristocráticas más importantes de España.\n\r\n\rBeltrán llegó como paje a la Corte castellana, gracias a su padre, Diego Fernández de la Cueva.\n\r\n\rEn 1458 fue nombrado mayordomo y maestresala, y en 1461 entró a formar parte del Consejo del rey, desplazando a Juan Pacheco, como hombre de confianza de Enrique IV.\n\r\n\rSe casó con Mencía de Mendoza y Luna, hija del marqués de Santillana y sobrina del cardenal Mendoza. Más adelante, cuando enviudó se casó en segundas nupcias con Mencía Enríquez de Toledo. Además contrajo terceras nupcias con María de Velasco y Mendoza, viuda del que había sido su acérrimo enemigo a lo largo de su vida: Juan Pacheco.\n\r\n\rDe la Cueva fue siempre leal y dio la cara por su rey, en nombre de quien luchó en la frontera mora.;;;2;;;Beltrán de la Cueva;Valido de Enrique IV de Castilla. Noble, político y militar;Corte;castilla;;;
22;Mencía de Mendoza;Mar del Hoyo;;;;-;;Corte;castilla;1;;;;;;Diego de Mendoza, Beltrán de la Cueva;mencia.jpg;2;Mencía de Mendoza;;;;;;;Mencía de Mendoza;;Corte;castilla;;;
23;Antonio Véneris;Fernando Sansegundo;Antonio Véneris;Nuncio apostólico, De Venéris es legado del Papa en España desde 1460;;6 - 8 - 9 - 12;;Iglesia;vaticano;1;11,17,21;11,a,21;;;;Enrique IV, Papa Paulo II, Alfonso Carrillo, Juan Pacheco, Monseñor de Fonseca, Fernando II de Aragón, Isabel I de Castilla;antonio_veneris.jpg;;Antonio Véneris;"Enrique IV le pidió al papa Pío II que delegue su facultad de nombrar inquisidores para Castilla en un comité formado por él mismo, Lope de Rivas, obispo de Cartagena, y De Véneris.\n\r\n\rSin embargo, Pío II, que ansiaba conservar el control de la nueva inquisición, institución que la iglesia esperaba que pusiera coto a la judaización entre los cristianos nuevos, nombró a De Venéris como su primer inquisidor general.\n\r\n\rEn la guerra civil, en la batalla de Olmedo, De Venéris trae un mensaje de Enrique IV: el rey perdona a los nobles si 'vinieren a mis servicios, como súúbditos naturales.'\n\r\n\rEn los pactos de Guisando, también hubo un inter&eoacute;s internacional para que se sellara la paz entre los dos bandos: De Venéris era el enviado de Roma mientras que Peralta era el de Aragón.\n\r\n\rEl nuncio amenazó con la excomunión a Pacheco, Carrillo, Fonseca y otros pero tuvo que dar marcha atrás por temor a ser agredido físicamente. Al Papa, además, lo único que le interesaba es que Castilla le ayude en su cruzada contra los turcos.\n\r\n\rPaulo II le encomendó al nuncio que representara a Roma en el solemne acto de juramento de paz entre Isabel y Enrique IV en las Vistas de Guisando. Roma bendijo que Enrique IV proclamara a Isabel 'Princesa primera y legítima heredera…' si así se ponía fin a años de guerra civil en la corona de Castilla.\n\r\n\rEl legado papal también estuvo implicado en la trama de la falsa bula papal, el ardid al que recurrió el arzobispo Carrillo, para tirar adelante la boda entre Fernando e Isabel.";;;;;;Antonio Véneris;Nuncio apostólico, De Venéris es legado del Papa en España desde 1460;Iglesia;vaticano;;;
24;Papa Paulo II;;Papa Paulo II;Fue el Papa número 211 de la Iglesia Católica y su pontificado se extendió desde 1464 hasta 1471;;;;Iglesia;vaticano;;;;;;;Antonio Véneris, Fernando II de Aragón, Isabel I de Castilla, Alfonso Carrillo, Rodrigo de Borja;pauloII.jpg;;Papa Paulo II;Nació en Venecia en 1417, era sobrino del papa Eugenio IV.\n\r\n\rSucesor del Papa Pio II, Paulo II es uno de los papas más mundanos de la época y se gustaba de particiar en toda clase de convites, fiestas y banquetes. En ellos cometía tales excesos que sus allegados temían que este género de vida llegara a costarle la vida.\n\r\n\rPaulo II mantenía excelentes relaciones con Enrique IV. En 1469, dio poderes al legado romano Antonio De Venéris para sacralizar la paz de las Vistas de Guisando.\n\r\n\rHarto de lidiar con los informes autojustificatorios de los dos bandos enfrentados, la Iglesia Católica, con Paulo II al frente, perseguía la ayuda económica de la corona de Castilla en su cruzada contra los turcos.\n\r\n\rPaulo II también negó a Juan II de Aragón la bula papal para legitimar la boda entre Fernando e Isabel, que eran primos segundos, con la excusa de que ya había dado antes una similar a Enrique IV, permitiendo la boda de la princesa con Alfonso V de Portugal. No podía dar dos dispensas al mismo tiempo para que la joven se casara con dos pretendientes distintos.\n\r\n\rEn realidad, su postura contraria a las demandas de la corona aragonesa se debió a la buena entente que tiene con la corona francesa, que se disputa con la anterior los territorios fronterizos.\n\r\n\rFiel seguidor de la teoría de que es mejor dejarlo todo como está por si cambiarlo empeora, Paulo II se apoyó en Enrique IV en muchas ocasiones, veía a Castilla como aliado esencial y, pese a los esfuerzos de Juan II de Aragón, le negó la bula que legalizaría la boda entre Isabel y Fernando.\n\r\n\rHombre más dado a la contemplación artística y a fiestas y carnavales, era famoso por no resolver casi ninguno de los pleitos que le llegaban. Su muerte fue un alivio para la causa de Isabel.;;;;;;Papa Paulo II;Fue el Papa número 211 de la Iglesia Católica y su pontificado se extendió desde 1464 hasta 1471;Iglesia;vaticano;;;
25;Gutierre de Cárdenas;Pere Ponce;Gutierre de Cárdenas;Noble castellano;http://www.rtve.es/television/20111219/gutierre-cardenas-interpretado-pere-ponce/483315.shtml;5 - 6 - 7 - 8 - 9 - 10 - 12 - 13;14 - 15 - 16 - 17 - 19 - 24 - 26;Corte;castilla;;1,3,4,10;1,a,f,a;8;2;8;Gonzalo Chacón, Isabel I de Castilla, Fernando II de Aragón, ;GUTIERRE-DE-CARDENAS.jpg;;Gutierre de Cárdenas;Hombre de confianza de Isabel de Castilla y luego también de su marido Fernando de Aragón, era pariente de Gonzalo Chacón.\n\r\n\rSu familia provenía del norte, pero su rama se había establecido en Andalucía. Su padre se casó con Teresa Chacón, sobrina de Gonzalo Chacón. Su tío político le posibilitó su entrada en la corte.\n\r\n\rSu trabajo y su fidelidad a Isabel le hicieron merecedor del cargo de maestresala de la princesa, además de contador mayor del reino y de alcalde mayor de Toledo.\n\r\n\rSe casó con Teresa Enríquez, hija del almirante de Castilla, convirtiéndose en pariente de Fernando el Católico.\n\r\n\rSe encargó en secreto de los trámites para la boda de Isabel con Fernando de Aragón, redactando las cláusulas del matrimonio que Fernando aceptó. Además, durante la Guerra de Granada, participó en la negociación de las condiciones de la rendición de Málaga, para que se hicieran de la manera más humanitaria posible.\n\r\n\rCuentan los cronistas que la reina Isabel le concedió el privilegio de ser el primero en entrar en la ciudad de Granada tras la reconquista en 1492.\n\r\n\rYa en  1494 fue el encargado de redactar los acuerdos con Portugal en el tratado de Tordesillas, además de ostentar el cargo de Maestresala de la Reina tras dejar el cargo de Contador Mayor del Reino, que pasó a manos de Gonzalo Chacón.\n\r\n\rPero una de las cosas por las que pasará a la historia es por sostener la espada abriendo la comitiva de Isabel el día en que ésta fue proclamada reina, un papel simbólico y que en los acuerdos del matrimonio entre Fernando e Isabel estaba dispuesto para el aragonés. Pero ante su ausencia, Isabel no esperó y le otorgó ese encargo a Gutierre de Cárdenas.;;;2;;;Gutierre de Cárdenas;Noble castellano;Corte;castilla;;;
26;Beatriz Pacheco;Malia Conde;Beatriz Pacheco;Hija de Juan Pacheco y Catalina Alfón de Lodeña;;;18;Nobleza;castilla;1;11,18,19;e,f,f;;;;Juan Pacheco, María de Portocarrero, Fernando II de Aragón;beatriz_pacheco.jpg;;Beatriz Pacheco;Sobrina de Pedro Girón. Su padre y su tío eran a su vez sobrinos del arzobispo Carrillo. Se cree que su edad era similar a la de Isabel y Fernando.\n\r\n\rVaronil y belicosa, Beatriz Pachecho era leal a su padre. Dado el poder de Juan Pacheco en la corona de Castilla, a Juan II de Aragón se le ocurrió la idea de casar a su hijo Fernando con Beatriz Pacheco para reforzar su posición geopolítica. Pero su enviado Pierres de Peralta no tardó en desestimar la idea al atraer su atención una pretendiente más interesante para sus planes, Isabel.\n\r\n\rTras el fracaso de dichas negociaciones matrimoniales, su padre acaba casándola con Rodrigo Portocarrero, Conde de Medellín. Este hecho fue una muestra más de su habilidad política, dado que así recuperó para la familia un antiguo condado suyo. Al poner a su hija al frente, Pacheco consiguió su apoyo en la defensa del señorío de Moguer y Villanueva del Fresno, de los que era titular su segunda esposa, Doña María PortoCarrero.;;;;;;Beatriz Pacheco;Hija de Juan Pacheco y Catalina Alfón de Lodeña;Nobleza;castilla;;;
27;Juan Pacheco;Ginés García Millán;Juan Pacheco;Noble y político de Castilla;http://www.rtve.es/television/20110825/juan-pacheco-interpretado-gines-garcia-millan/457277.shtml;1 - 2 - 3 - 4 - 5 - 6 - 7 - 8 - 9 - 10 - 11 - 12 - 13;17;Nobleza;portugal;;9,11,13,14,17,19,20,21,24,49;e,e,e,14,a,f,a,a,a,e;18;3;18;Pedro Girón, Alfonso Carrillo, Beltrán de la Cueva, Enrique IV, Isabel I de Castilla, Alfonso de Castilla;JUAN-PACHECO.jpg;;Juan Pacheco;Noble castellano nacido en 1419 en Belmonte (Cuenca). Era hermano de Pedro Girón y sobrino de Carrillo, arzobispo de Toledo. Nombrado marqués de Villena en 1445, era el padre de Beatriz Pacheco y Diego López de Pacheco.\n\r\n\rDominó la escena política desde los últimos años de Juan II y durante todo el reinado de Enrique IV. Fue su hombre de confianza y tomaba todas las decisiones políticas, aunque no dudó en traicionarle por su propio interés.\n\r\n\rAl nacer Juana de Castilla, Pacheco, que no la consideraba legítima heredera y se sintió desplazado por el nuevo favorito, Beltrán de la Cueva, confabuló con la liga nobiliaria contra el Enrique IV.\n\r\n\rHábil y con buen don de palabra, sabía negociar y hacerse afines con una madera de líder. Era un lince en la estrategia propagandística, en dar al pueblo lo que quería oír para difamar o hundir a sus enemigos.\n\r\n\rPara él, los reyes y demás nobles eran piezas de un juego que usaba en su beneficio constantemente, mirando más por sus propios intereses que por los del Reino. Su obsesión, además del poder, es sublimar su posición social y la de su familia, llegar a entroncar con familia de reyes.\n\r\n\rPor su forma de conducirse impunemente entre la Corte de Enrique IV y el bando antienriqueño, la deslealtad también fue una de sus principales características.\n\r\n\rMaquinó en contra de Álvaro de Luna y se ganó a Enrique para que defendiera los intereses de la nobleza. Se mantuvo en ese bando a lo largo de dos décadas como valido de Enrique IV.\n\r\n\rAl morir, poco antes de la coronación de Isabel como reina, siguió su estela su hijo Pacheco, que confabuló con Alfonso V de Portugal para arrebatar Castilla a Isabel.;;Noble castellano nacido en 1419 en Belmonte (Cuenca). Era hermano de Pedro Girón y sobrino de Carrillo, arzobispo de Toledo. Nombrado marqués de Villena en 1445, era el padre de Beatriz Pacheco y Diego López de Pacheco.\n\r\n\rDominó la escena política desde los últimos años de Juan II y durante todo el reinado de Enrique IV. Fue su hombre de confianza y tomaba todas las decisiones políticas, aunque no dudó en traicionarle por su propio interés.\n\r\n\rAl nacer Juana de Castilla, Pacheco, que no la consideraba legítima heredera y se sintió desplazado por el nuevo favorito, Beltrán de la Cueva, confabuló con la liga nobiliaria contra el Enrique IV.\n\r\n\rHábil y con buen don de palabra, sabía negociar y hacerse afines con una madera de líder. Era un lince en la estrategia propagandística, en dar al pueblo lo que quería oír para difamar o hundir a sus enemigos.\n\r\n\rPara él, los reyes y demás nobles eran piezas de un juego que usaba en su beneficio constantemente, mirando más por sus propios intereses que por los del Reino. Su obsesión, además del poder, es sublimar su posición social y la de su familia, llegar a entroncar con familia de reyes.\n\r\n\rPor su forma de conducirse impunemente entre la Corte de Enrique IV y el bando antienriqueño, la deslealtad también fue una de sus principales características.\n\r\n\rMaquinó en contra de Álvaro de Luna y se ganó a Enrique para que defendiera los intereses de la nobleza. Se mantuvo en ese bando a lo largo de dos décadas como valido de Enrique IV.\n\r\n\rAl morir, poco antes de la coronación de Isabel como reina, siguió su estela su hijo Pacheco, que confabuló con Alfonso V de Portugal para arrebatar Castilla a Isabel.;3;;;Juan Pacheco;Noble y político de Castilla;Nobleza;portugal;;;
28;Pedro Girón;César Vea;Pedro Girón;Noble de Castilla;;1 - 2 - 3;;Nobleza;castilla;;18,19;f,f;;;;Juan Pacheco, Alfonso Carrillo, Beltrán de la Cueva, Enrique IV, Isabel I de Castilla, Alfonso de Castilla;pedro_giron.jpg;;Pedro Girón;"Maestre de la Orden de Calatrava, nació en Belmonte en 1423 y era hermano de Juan Pacheco y Sobrino de Carrillo.\n\r\n\rPedro Girón y su hermano mayor Juan Pacheco se criaron como pajes en la casa de Don Álvaro de Luna y crecieron junto a Enrique IV al que asesoraron durante muchos años, acrecentando su propio poder y acumulando una gran fortuna.\n\r\n\rApoyado por su hermano Juan, hombre de confianza del joven príncipe, tuvo un ascenso meteórico en la corte, pasando rápidamente de paje a oficial de cuchillo de su mesa, camarero mayor y notario mayor de sus reinos (Castilla y León) y alguacil de Medina del Campo.\n\r\n\rAdemás acumuló un sinfín; de villas, señoríos y territorios. Según Menéndez Pidal, sostenía en pie de guerra permanente un ejército de 3.000 jinetes e intentó atentar al honor de Isabel de Portugal en Arévalo.\n\r\n\rDespués de la ascensión también meteórica de Beltrán de la Cueva, el nuevo hombre de confianza de Enrique IV, desplaza a Juan Pacheco. éste y su hermano se significan claramente como antienriqueños de pro.\n\r\n\rComo Maestre de la Orden de Calatrava hizo perder a esta orden unos 2.000 kilómetros cuadrados, la mayoría en favor propio, de sus hijos o de su hermano Juan, constituyendo con ello una de las casas nobiliarias que se situó entre las más ricas del reino hasta el siglo XIX.";;;;;;Pedro Girón;Noble de Castilla;Nobleza;castilla;;;
29;Diego de Mendoza;Juan Meseguer;Diego Hurtado de Mendoza;Noble de Castilla;;1 - 2 - 3 - 4 - 5 - 6 - 7 - 9 - 11 - 12 - 13;14 - 15;Nobleza;castilla;;10,25;f,a;49;2;49;Beltrán de la Cueva, Juan Pacheco, Enrique IV, Pedro de Mendoza, ;DIEGO-MENDOZA.jpg;2;Diego de Mendoza;Fue el segundo Marqués de Santillana. Nacido en Guadalajara en 1417, era primogénito de íñigo López de Mendoza y Catalina Suárez de Figueroa y hermano entre otros de Pedro González de Mendoza e íñigo López de Mendoza y Figueroa.\n\r\n\rLos cronistas le mencionan como mecenas de las bellas artes y patrocinó la construcción de castillos y palacios.\n\r\n\rEra enemigo de Juan Pacheco y alentó el ascenso dentro de la Corte de Beltrán de la Cueva, con el que finalmente casó a su hija en 1462.\n\r\n\rLeales a Enrique IV, él y su familia no intervieron ni en la rebelión nobiliaria ni en la Farsa de ávila. Y durante la guerra civil, entre 1465 y 1469, combatieron en el bando partidario de Juana en contra del bando alfonsino, que posteriormente pasaría a llamarse isabelino.\n\r\n\rLa postura familiar cambió cuando su hermano Pedro González de Mendoza fue nombrado cardenal gracias a las gestiones de Borja y los príncipes Fernando e Isabel. Tras entrevistarse con la pareja, Mendoza hizo todo lo posible para acercar a la princesa y su hermanastro Enrique IV, una vez más yendo contra los intereses de Pacheco.\n\r\n\rLa aparición de Rodrigo Borja y su decisión de otorgar a un Mendoza (Pedro) el capelo cardenalicio con el apoyo de Aragón, hará –gracias a la gestión de Fernando- que pasen a apoyar a Isabel.\n\r\n\rDe carácter frío y calculador, sus modales (cultos y exquisitos) distan de los de un Juan Pacheco o, sobre todo, Pedro Girón. Es un aristócrata dentro de la nobleza. Sabe el poder que tiene y no quiere más: ya le es suficiente. Sabe que la estabilidad de Castilla es buena para la economía en general. Y la suya en particular. Es el político de la familia.;;;2;;;Diego de Mendoza;Noble de Castilla;Nobleza;castilla;;;
